run,family,source,seed,ckpt,method,group,n,exact_identities,metric,estimate,ci_low,ci_high,finite_only_mean
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,site_ba_drop,0.7389880952380952,0.6550483630952381,0.8223214285714285,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,psnr,,,,161.14089495282437
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,mse,7.635249146505712e-17,6.219042576639136e-17,8.992288482426069e-17,7.635249146505712e-17
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,mae,1.429186079423959e-09,1.1623459814530096e-09,1.6843577684657724e-09,1.429186079423959e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,pixel_cosine_similarity,1.0,0.9999999999999998,1.0,1.0
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,cross_correlation,0.9999999999999991,0.9999999999999986,0.9999999999999994,0.9999999999999991
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,subject_wasserstein_raw_harm,1.429186079423959e-09,1.1623459814530096e-09,1.6843577684657724e-09,1.429186079423959e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,subject_kl_raw_harm,3.568140361386613e-09,0.0,9.144053678560046e-09,3.568140361386613e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,raw_site_ba,1.0,1.0,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,harmonized_site_ba,1.0,1.0,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,target_nyu,19,1,site_ba_drop,0.0,0.0,0.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,psnr,,,,49.26377715847731
